"year","state","road_user_group","Sum(cases)","Sum(bed_days)"
"2013","WA","Pedal cyclist",675,2203
"2013","WA","Pedestrian",245,1696
"2014","ACT","Driver",232,943
"2014","ACT","Driver/passenger",0,0
"2014","ACT","Motorcyclist",102,523
"2014","ACT","Other/unknown",0,0
"2014","ACT","Pedal cyclist",179,430
"2014","ACT","Pedestrian",20,111
"2014","NSW","Driver",5319,20508
"2014","NSW","Driver/passenger",145,664
"2014","NSW","Motorcyclist",2636,11079
"2014","NSW","Other/unknown",311,1505
"2014","NSW","Pedal cyclist",1902,4999
"2014","NSW","Pedestrian",1000,7285
"2014","NT","Driver",276,1331
"2014","NT","Driver/passenger",5,51
"2014","NT","Motorcyclist",150,898
"2014","NT","Other/unknown",7,43
"2014","NT","Pedal cyclist",65,170
"2014","NT","Pedestrian",59,418
"2014","Qld","Driver",3580,12875
"2014","Qld","Driver/passenger",146,882
"2014","Qld","Motorcyclist",2070,8517
"2014","Qld","Other/unknown",224,868
"2014","Qld","Pedal cyclist",1333,3497
"2014","Qld","Pedestrian",372,2377
"2014","SA","Driver",1066,5217
"2014","SA","Driver/passenger",35,112
"2014","SA","Motorcyclist",557,2370
"2014","SA","Other/unknown",50,150
"2014","SA","Pedal cyclist",494,1508
"2014","SA","Pedestrian",162,1721
"2014","Tas","Driver",261,1381
"2014","Tas","Driver/passenger",0,0
"2014","Tas","Motorcyclist",204,787
"2014","Tas","Other/unknown",9,20
"2014","Tas","Pedal cyclist",111,357
"2014","Tas","Pedestrian",45,284
"2014","Vic","Driver",4070,13176
"2014","Vic","Driver/passenger",107,609
"2014","Vic","Motorcyclist",1654,6257
"2014","Vic","Other/unknown",230,1006
"2014","Vic","Pedal cyclist",1819,4236
"2014","Vic","Pedestrian",643,3741
"2014","WA","Driver",1282,7032
"2014","WA","Driver/passenger",35,209
"2014","WA","Motorcyclist",865,5326
"2014","WA","Other/unknown",117,414
"2014","WA","Pedal cyclist",657,2026
"2014","WA","Pedestrian",198,1582
"2015","ACT","Driver",275,1163
"2015","ACT","Driver/passenger",6,6
"2015","ACT","Motorcyclist",145,703
"2015","ACT","Other/unknown",12,51
"2015","ACT","Pedal cyclist",222,665
"2015","ACT","Pedestrian",27,260
"2015","NSW","Driver",5428,25378
"2015","NSW","Driver/passenger",163,1139
"2015","NSW","Motorcyclist",2459,13849
"2015","NSW","Other/unknown",290,1691
"2015","NSW","Pedal cyclist",1793,4896
"2015","NSW","Pedestrian",951,7378
"2015","NT","Driver",335,1607
"2015","NT","Driver/passenger",0,0
"2015","NT","Motorcyclist",169,764
"2015","NT","Other/unknown",19,72
"2015","NT","Pedal cyclist",81,213
"2015","NT","Pedestrian",71,702
"2015","Qld","Driver",4013,15668
"2015","Qld","Driver/passenger",141,828
"2015","Qld","Motorcyclist",2144,10155
"2015","Qld","Other/unknown",203,1134
"2015","Qld","Pedal cyclist",1378,3660
"2015","Qld","Pedestrian",427,2825
"2015","SA","Driver",1193,5571
"2015","SA","Driver/passenger",17,40
"2015","SA","Motorcyclist",549,3009
"2015","SA","Other/unknown",50,227
"2015","SA","Pedal cyclist",517,1342
"2015","SA","Pedestrian",121,922
"2015","Tas","Driver",325,1674
"2015","Tas","Driver/passenger",8,33
"2015","Tas","Motorcyclist",197,809
"2015","Tas","Other/unknown",9,65
"2015","Tas","Pedal cyclist",93,344
"2015","Tas","Pedestrian",35,450
"2015","Vic","Driver",4558,25027
"2015","Vic","Driver/passenger",107,504
"2015","Vic","Motorcyclist",1694,9946
"2015","Vic","Other/unknown",245,1429
"2015","Vic","Pedal cyclist",1894,5517
"2015","Vic","Pedestrian",700,7649
"2015","WA","Driver",1372,8942
"2015","WA","Driver/passenger",33,261
"2015","WA","Motorcyclist",842,5135
"2015","WA","Other/unknown",91,354
"2015","WA","Pedal cyclist",621,1963
"2015","WA","Pedestrian",204,1714
"2016","ACT","Driver",250,1163
"2016","ACT","Driver/passenger",0,0
"2016","ACT","Motorcyclist",147,627
"2016","ACT","Other/unknown",5,5
"2016","ACT","Pedal cyclist",215,513
"2016","ACT","Pedestrian",28,277
"2016","NSW","Driver",5639,25633
"2016","NSW","Driver/passenger",133,1016
"2016","NSW","Motorcyclist",2648,16375
"2016","NSW","Other/unknown",315,1599
"2016","NSW","Pedal cyclist",1775,5258
"2016","NSW","Pedestrian",964,10468
"2016","NT","Driver",374,1821
"2016","NT","Driver/passenger",5,11
"2016","NT","Motorcyclist",151,720
"2016","NT","Other/unknown",23,184
"2016","NT","Pedal cyclist",70,171
"2016","NT","Pedestrian",59,743
"2016","Qld","Driver",4260,17819
"2016","Qld","Driver/passenger",142,852
"2016","Qld","Motorcyclist",2159,12016
"2016","Qld","Other/unknown",244,1791
"2016","Qld","Pedal cyclist",1442,3920
"2016","Qld","Pedestrian",455,3419
"2016","SA","Driver",1292,6641
"2016","SA","Driver/passenger",39,254
"2016","SA","Motorcyclist",546,2902
"2016","SA","Other/unknown",82,324
"2016","SA","Pedal cyclist",527,1417
"2016","SA","Pedestrian",168,1657
"2016","Tas","Driver",310,2040
"2016","Tas","Driver/passenger",8,70
"2016","Tas","Motorcyclist",171,1096
"2016","Tas","Other/unknown",20,314
"2016","Tas","Pedal cyclist",96,176
"2016","Tas","Pedestrian",41,213
"2016","Vic","Driver",5324,33708
"2016","Vic","Driver/passenger",110,1113
"2016","Vic","Motorcyclist",1806,12516
"2016","Vic","Other/unknown",312,2714
"2016","Vic","Pedal cyclist",2008,6608
"2016","Vic","Pedestrian",800,11119
"2016","WA","Driver",1252,10058
"2016","WA","Driver/passenger",34,444
"2016","WA","Motorcyclist",802,6338
"2016","WA","Other/unknown",125,786
"2016","WA","Pedal cyclist",652,2264
"2016","WA","Pedestrian",166,2012
"2017","ACT","Driver",250,1199
"2017","ACT","Driver/passenger",0,0
"2017","ACT","Motorcyclist",119,454
"2017","ACT","Other/unknown",0,0
"2017","ACT","Pedal cyclist",211,609
"2017","ACT","Pedestrian",34,291
"2017","NSW","Driver",5295,23955
"2017","NSW","Driver/passenger",147,770
"2017","NSW","Motorcyclist",2526,16369
"2017","NSW","Other/unknown",328,2131
"2017","NSW","Pedal cyclist",1791,6632
"2017","NSW","Pedestrian",929,9657
"2017","NT","Driver",366,2091
"2017","NT","Driver/passenger",7,44
"2017","NT","Motorcyclist",149,881
"2017","NT","Other/unknown",9,60
"2017","NT","Pedal cyclist",74,196
"2017","NT","Pedestrian",79,634
"2017","Qld","Driver",4559,18461
"2017","Qld","Driver/passenger",170,1082
"2017","Qld","Motorcyclist",2208,11175
"2017","Qld","Other/unknown",216,1251
"2017","Qld","Pedal cyclist",1542,4061
"2017","Qld","Pedestrian",439,3834
"2017","SA","Driver",1151,6903
"2017","SA","Driver/passenger",31,102
"2017","SA","Motorcyclist",531,3244
"2017","SA","Other/unknown",85,674
"2017","SA","Pedal cyclist",469,1305
"2017","SA","Pedestrian",127,1551
"2017","Tas","Driver",310,1854
"2017","Tas","Driver/passenger",5,53
"2017","Tas","Motorcyclist",169,1044
"2017","Tas","Other/unknown",8,65
