"year","age_group","sex","road_user","Sum(hospitalisations)","Sum(cases)","Mean(bed_days)","Sum(died_cases)"
2011,"65-74","Male","Car unknown position",31,32,8,1
2011,"65-74","Male","Heavy transport driver",16,16,4,0
2011,"65-74","Male","Heavy transport passenger",3,3,4,0
2011,"65-74","Male","Heavy transport unknown position",4,4,1,0
2011,"65-74","Male","Motorcyclist",142,143,16,1
2011,"65-74","Male","Other or unknown",60,60,12,0
2011,"65-74","Male","Pedal cyclist",190,193,12,3
2011,"65-74","Male","Pedestrian",95,97,31,2
2011,"65-74","Male","Pick-up truck or van occupant",10,10,4,0
2011,"75+","Female","Bus occupant",49,49,13,0
2011,"75+","Female","Car driver",395,403,29,8
2011,"75+","Female","Car passenger",279,288,27,9
2011,"75+","Female","Car unknown position",29,31,19,2
2011,"75+","Female","Motorcyclist",8,8,11,0
2011,"75+","Female","Other or unknown",21,21,24,0
2011,"75+","Female","Pedal cyclist",9,10,5,1
2011,"75+","Female","Pedestrian",204,210,45,6
2011,"75+","Female","Pick-up truck or van occupant",2,2,1,0
2011,"75+","Male","Bus occupant",12,12,5,0
2011,"75+","Male","Car driver",485,499,36,14
2011,"75+","Male","Car passenger",88,92,13,4
2011,"75+","Male","Car unknown position",26,26,12,0
2011,"75+","Male","Heavy transport driver",1,1,6,0
2011,"75+","Male","Motorcyclist",34,34,12,0
2011,"75+","Male","Other or unknown",24,26,10,2
2011,"75+","Male","Pedal cyclist",77,79,11,2
2011,"75+","Male","Pedestrian",151,171,56,20
2011,"75+","Male","Pick-up truck or van occupant",2,2,2,0
2011,"8-16","Female","Bus occupant",6,6,1,0
2011,"8-16","Female","Car driver",28,29,2,1
2011,"8-16","Female","Car passenger",351,355,13,4
2011,"8-16","Female","Car unknown position",19,20,3,1
2011,"8-16","Female","Heavy transport unknown position",2,2,2,0
2011,"8-16","Female","Motorcyclist",44,44,2,0
2011,"8-16","Female","Other or unknown",8,8,3,0
2011,"8-16","Female","Pedal cyclist",163,163,4,0
2011,"8-16","Female","Pedestrian",148,148,26,0
2011,"8-16","Female","Pick-up truck or van occupant",5,5,9,0
2011,"8-16","Male","Bus occupant",6,6,2,0
2011,"8-16","Male","Car driver",45,46,9,1
2011,"8-16","Male","Car passenger",276,280,15,4
2011,"8-16","Male","Car unknown position",23,24,3,1
2011,"8-16","Male","Heavy transport passenger",3,3,3,0
2011,"8-16","Male","Motorcyclist",426,428,11,2
2011,"8-16","Male","Other or unknown",27,27,3,0
2011,"8-16","Male","Pedal cyclist",697,697,11,0
2011,"8-16","Male","Pedestrian",223,224,30,1
2011,"8-16","Male","Pick-up truck or van occupant",4,5,4,1
2012,"0-7","Female","Bus occupant",4,4,6,0
2012,"0-7","Female","Car driver",2,2,2,0
2012,"0-7","Female","Car passenger",150,150,9,0
2012,"0-7","Female","Car unknown position",8,8,1,0
2012,"0-7","Female","Heavy transport passenger",1,1,1,0
2012,"0-7","Female","Motorcyclist",9,9,1,0
2012,"0-7","Female","Other or unknown",5,5,2,0
2012,"0-7","Female","Pedal cyclist",60,60,2,0
2012,"0-7","Female","Pedestrian",49,49,10,0
2012,"0-7","Female","Pick-up truck or van occupant",2,2,1,0
2012,"0-7","Male","Bus occupant",5,5,3,0
2012,"0-7","Male","Car driver",0,0,3,0
2012,"0-7","Male","Car passenger",153,154,12,1
2012,"0-7","Male","Car unknown position",6,6,1,0
2012,"0-7","Male","Heavy transport passenger",1,1,1,0
2012,"0-7","Male","Motorcyclist",38,38,2,0
2012,"0-7","Male","Other or unknown",13,13,1,0
2012,"0-7","Male","Pedal cyclist",141,141,5,0
2012,"0-7","Male","Pedestrian",95,97,11,2
